Date (Year-Month),Location,Category,Reference_Index,Index(%)
1981-04,"Saint John, Fredericton, and Moncton, New Brunswick",Land only,"Index, 201612=100",38.0
1981-04,Quebec,Total (house and land),"Index, 201612=100",
1981-04,Quebec,House only,"Index, 201612=100",
1981-04,Quebec,Land only,"Index, 201612=100",
1981-04,"Québec, Quebec",Total (house and land),"Index, 201612=100",31.0
1981-04,"Québec, Quebec",House only,"Index, 201612=100",35.7
1981-04,"Québec, Quebec",Land only,"Index, 201612=100",20.9
1981-04,"Sherbrooke, Quebec",Total (house and land),"Index, 201612=100",
1981-04,"Sherbrooke, Quebec",House only,"Index, 201612=100",
1981-04,"Sherbrooke, Quebec",Land only,"Index, 201612=100",
1981-04,"Trois-Rivières, Quebec",Total (house and land),"Index, 201612=100",
1981-04,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
