Date (Year),Location,Property category,Average(C$)
2014,"Abbotsford-Mission, British Columbia",Residential,18815.1
2014,"Vancouver, British Columbia",Residential,570407.3
2014,"Victoria, British Columbia",Residential,63184.2
2015,Canada,Residential,4821415.7
2015,Newfoundland and Labrador,Residential,43173.6
2015,Prince Edward Island,Residential,6815.6
2015,Nova Scotia,Residential,75609.9
2015,New Brunswick,Residential,40128.2
2015,Quebec,Residential,772235.2
2015,Ontario,Residential,2059967.7
2015,Manitoba,Residential,108306.5
2015,Saskatchewan,Residential,113177.8
2015,Alberta,Residential,608100.0
2015,British Columbia,Residential,986439.8
2015,Yukon,Residential,2391.4
2015,Northwest Territories,Residential,3697.7
2015,Nunavut,Residential,1372.4
2015,Total census metropolitan areas,Residential,3776034.1
2015,"St. John's, Newfoundland and Labrador",Residential,22967.2
2015,"Halifax, Nova Scotia",Residential,41355.9
2015,"Saint John, New Brunswick",Residential,7758.5
2015,"Moncton, New Brunswick",Residential,8990.2
2015,"Montréal, Quebec",Residential,439417.0
2015,"Québec, Quebec",Residential,78698.5
2015,"Saguenay, Quebec",Residential,11840.0
2015,"Sherbrooke, Quebec",Residential,17451.1
2015,"Trois-Rivières, Quebec",Residential,9749.0
2015,"Barrie, Ontario",Residential,23654.4
2015,"Brantford, Ontario",Residential,12810.1
2015,"Greater Sudbury, Ontario",Residential,15225.5
2015,"Guelph, Ontario",Residential,20171.7
2015,"Hamilton, Ontario",Residential,103135.4
2015,"Kingston, Ontario",Residential,19234.7
2015,"Kitchener-Cambridge-Waterloo, Ontario",Residential,61235.4
2015,"London, Ontario",Residential,46833.1
2015,"Oshawa, Ontario",Residential,50547.3
2015,"Ottawa-Gatineau, Ontario/Quebec",Residential,169491.1
2015,Ottawa part,Residential,137634.3
2015,Gatineau part,Residential,31856.7
2015,"Peterborough, Ontario",Residential,13489.2
2015,"St. Catharines-Niagara, Ontario",Residential,41746.1
2015,"Thunder Bay, Ontario",Residential,11680.9
2015,"Toronto, Ontario",Residential,1166506.4
2015,"Windsor, Ontario",Residential,24128.1
2015,"Winnipeg, Manitoba",Residential,76571.8
2015,"Regina, Saskatchewan",Residential,29267.1
2015,"Saskatoon, Saskatchewan",Residential,37478.2
2015,"Calgary, Alberta",Residential,244111.2
2015,"Edmonton, Alberta",Residential,192704.7
2015,"Kelowna, British Columbia",Residential,34253.8
2015,"Abbotsford-Mission, British Columbia",Residential,20032.1
2015,"Vancouver, British Columbia",Residential,657215.8
2015,"Victoria, British Columbia",Residential,66282.8
